"COD_Ateneo";"NomeEsteso";"NomeOperativo";"Status";"Tipologia";"StataleLibera";"VIA";"COMUNE";"PROVINCIA";"REGIONE";"NOME_REGIONE_MACRO_ISTAT";"URL";"Ateneo_dimensione"
"03601";"Università degli studi di Modena e Reggio Emilia";"Modena e Reggio Emilia";"Attivo    ";"Università";"Statale   ";"Via Universita', 4";"MODENA";"MODENA";"EMILIA ROMAGNA";"NORD-EST";"www.unimore.it";"da 20.000 a 29.999"
"03701";"Università degli studi di Bologna";"Bologna";"Attivo    ";"Università";"Statale   ";"Via Zamboni, 33";"BOLOGNA";"BOLOGNA";"EMILIA ROMAGNA";"NORD-EST";"www.unibo.it";"60.000 e oltre"
"03702";"Istituto Superiore di Educazione Fisica di Bologna";"Bologna ISEF";"Non attivo";"ISEF";"Non Statale";;"BOLOGNA";"BOLOGNA";"EMILIA ROMAGNA";"NORD-EST";;
"03801";"Università degli studi di Ferrara";"Ferrara";"Attivo    ";"Università";"Statale   ";"Ex Convento di S.Lucia-v.Ariosto 35";"FERRARA";"FERRARA";"EMILIA ROMAGNA";"NORD-EST";"www.unife.it";"da 20.000 a 29.999"
"04101";"Università degli studi ""Carlo Bo"" di Urbino";"Urbino";"Attivo    ";"Università";"Statale   ";"Via A. Saffi, 2";"URBINO";"PESARO E URBINO";"MARCHE";"CENTRO";"www.uniurb.it";"da 10.000 a 19.999"
"04102";"Istituto Superiore di Educazione Fisica di Urbino";"Urbino ISEF";"Non attivo";"ISEF";"Non Statale";;"URBINO";"PESARO E URBINO";"MARCHE";"CENTRO";;
"04201";"Università Politecnica delle Marche - Ancona";"Marche";"Attivo    ";"Università";"Statale   ";"P.zza Roma, 22";"ANCONA";"ANCONA";"MARCHE";"CENTRO";"www.univpm.it";"da 10.000 a 19.999"
"04301";"Università degli studi di Macerata";"Macerata";"Attivo    ";"Università";"Statale   ";"Piaggia dell'Universita', 11";"MACERATA";"MACERATA";"MARCHE";"CENTRO";"www.unimc.it";"inferiore a 10.000"
"04302";"Università degli studi di Camerino";"Camerino";"Attivo    ";"Università";"Statale   ";"Via del Bastione, 2";"CAMERINO";"MACERATA";"MARCHE";"CENTRO";"www.unicam.it";"inferiore a 10.000"
"04601";"Scuola IMT Alti Studi di Lucca";"Lucca IMT";"Attivo    ";"Scuola Superiore ad Ordinamento Speciale";"Statale   ";"Piazza S. Ponziano,6";"LUCCA";"LUCCA";"TOSCANA";"CENTRO";"www.imtlucca.it";
"04801";"Università degli studi di Firenze";"Firenze";"Attivo    ";"Università";"Statale   ";"P.zza S. Marco, 4";"FIRENZE";"FIRENZE";"TOSCANA";"CENTRO";"www.unifi.it";"da 30.000 a 59.999"
